Name,Address,Types,Website,Email,Phone Number,Rating,Business Type,Keyword
Guitar Center,"384 Mall Blvd, Monroeville","('store', 'point_of_interest', 'establishment')",https://www.guitarcenter.com/,info@www.guitarcenter.com,(412) 372-8800,4.3,,music
John Parker Bands,"301 Grant St, Pittsburgh","('point_of_interest', 'store', 'establishment')",https://johnparkerbands.com/,info@johnparkerbands.com,(724) 941-1111,5.0,,bands
Solich Piano Pittsburgh,"12001 Perry Hwy, Wexford","('store', 'point_of_interest', 'establishment')",https://solichmusic.com/solich-piano-pittsburgh/,info@solichmusic.com,(724) 506-6370,5.0,,piano
Singer Construction Inc,"145 Mt Pleasant Rd, Warrendale","('general_contractor', 'point_of_interest', 'establishment')",https://www.singerconstructionstl.com/,andrew@singerconstructionstl.com,(724) 935-2424,3.0,,singer
Rhythm Ridez. LLC,"878 5th Ave, New Kensington","('gym', 'point_of_interest', 'health', 'establishment')",https://www.facebook.com/photo.php?fbid=189316587545158&id=100094004542625&set=a.115405701602914,rhythmridez@gmail.com,(724) 496-9654,5.0,,rhythm
Melody Motor Lodge,"1607 Morrell Ave, Connellsville","('lodging', 'point_of_interest', 'establishment')",https://www.melodymotorlodge.top/,info@www.melodymotorlodge.top,(724) 628-9600,3.6,,melody
Higher Voice Studio,"144 E Main St, Carnegie","('school', 'point_of_interest', 'establishment')",https://highervoicestudio.com/,info@highervoicestudio.com,(412) 429-1000,5.0,,vocal
Harmony,"Harmony, PA, USA","('locality', 'political')",https://www.harmonytx.org/,clambert@harmonytx.org,(412) 441-1100,4.8,,harmony
Brother's Brother Foundation,"1200 Galveston Ave, Pittsburgh","('point_of_interest', 'establishment')",https://brothersbrother.org/,info@brothersbrother.org,(412) 321-3160,4.5,,nonprofit organizations
Foundation of HOPE,"540 Suismon St, Pittsburgh","('point_of_interest', 'establishment')",https://www.foundationofhope.org/,,(412) 321-3343,4.7,,charity foundations
Hope for Ghana,"917 Ivy St, Pittsburgh","('point_of_interest', 'establishment')",https://hopeforghana.com/,,,5.0,,local charities
The Community Foundation of Westmoreland County,"41 W Otterman St # 520, Greensburg","('point_of_interest', 'establishment')",https://cfwestmoreland.org/,,(724) 836-4400,5.0,,philanthropic groups
